rank,entity,role,ownership_type,jurisdiction_footprint,risk_band,primary_exposure_pillars,key_evidence,short_term_action,long_term_action,confidence,source,last_verified
1,Co-op (Co-operative Group),retailer,cooperative,UK,lower,Green Claims Integrity; Supply-Chain Human Rights,"Member-owned governance; ETI Base Code sourcing standard; 100% Fairtrade across core own-brand lines (tea/coffee/sugar/bananas/cocoa) since 2017; no notable ESG enforcement history found","Self-audit against the five console pillars now, before any of them become mandatory for a business this size.","Publish a CSDDD-style supply-chain human-rights due-diligence statement pre-emptively, using the cooperative structure as the anchor.",real,"coop.co.uk; ethicalconsumer.org",2026-09-14
2,Waitrose (John Lewis Partnership),retailer,employee_owned_partnership,UK,lower,Climate & Emissions Disclosure; Packaging & Waste,"First UK retailer with externally validated net-zero targets; disclosed 40% Scope 1-2 cut vs 2020/21 baseline (2025); Polytag UV-tag packaging traceability on milk; specific dated packaging/circularity targets (70% circular design by 2030)","Maintain the third-party validation cadence — nothing urgent here.","Extend Polytag-style packaging traceability across the full own-label range ahead of pEPR's reporting requirements becoming mandatory in detail.",real,"johnlewispartnership.co.uk ES Report 2024/25; sustainability-news.net",2026-09-14
3,M&S Food (Marks & Spencer plc),retailer,public_listed_uk,UK; Ireland,low_moderate,Green Claims Integrity; Deforestation & Sourcing,"10/10 on 2026 RSPO Shared Responsibility Scorecard; ~99% segregated RSPO palm oil; historical 'first carbon neutral major retailer' framing is the kind of broad claim EU Green Claims Directive/EmpCo specifically targets even when backed by real programs","Get an independent assurance statement on any remaining broad net-zero/carbon-neutral claims before the Green Claims Directive's substantiation bar applies.","Finish the move from mass-balance to fully segregated palm oil on the stated timeline; formalize a legal review step for all environmental marketing copy.",real,"corporate.marksandspencer.com Palm Oil Policy Aug 2026; sustainablefoodbusiness.com",2026-09-14
4,Lidl GB,retailer,private_multinational,"UK; multinational parent (Schwarz Gruppe, Germany)",low_moderate,Climate & Emissions Disclosure; Packaging & Waste,"Detailed, specific, tracked own-brand plastic reduction (29% since 2017, targeting 40% by 2026) and food-waste reduction (43% since 2016); private multinational large enough to eventually fall under CSRD-equivalent group reporting thresholds, not yet matched by UK-specific standardized disclosure","Publish UK figures in a CSRD-aligned structure now, rather than only in 'Good Food' report language.","Disclose a group-level (Schwarz Gruppe) CSRD-alignment roadmap publicly, not just GB-specific initiatives.",real,"corporate.lidl.co.uk press releases 2023/2025; edie.net",2026-09-14
5,Aldi UK,retailer,private_multinational,"UK; multinational parent (Aldi Süd, Germany)",low_moderate,Climate & Emissions Disclosure; Deforestation & Sourcing,"4,500 tonnes of packaging removed (2024 report); flexible-plastic traceability via Greenback's eco2Veritas; same private-multinational CSRD-readiness gap as Lidl; ingredient-level EUDR sourcing traceability at company level not yet publicly evidenced","Same CSRD-readiness disclosure step as Lidl.","Build and publish ingredient-level EUDR sourcing traceability for own-brand cocoa/palm-oil-adjacent lines — also closes the gap flagged in ingredient_exposure.csv.",real,"aldi.co.uk Sustainability Report 2024; esgnews.com",2026-09-14
6,Ocado Retail,online_retailer,public_listed_uk,UK,moderate,Packaging & Waste,"Directly sells/packages goods online (JV with M&S); proactively investing in EPR-compliance tooling (Polytag UV tags, live on milk range + 100+ own-label SKUs); one of very few pure online-only grocers, so it is effectively a first-mover test case for how pEPR enforcement gets applied to online-only retail — genuine regulatory-ambiguity exposure even with strong compliance intent","Publish explicit pEPR registration/compliance status rather than leaving it implicit in the sustainability microsite.","Extend Polytag traceability from milk + ~100 SKUs to the full own-label range, and offer the resulting compliance template as an informal industry reference.",real,"sustainability.ocadoretail.com; packaging-gateway.com",2026-09-14
7,Sainsbury's (J Sainsbury plc),retailer,public_listed_uk,UK,moderate,Green Claims Integrity,"ASA has an active enforcement history in this exact space: Sainsbury's has previously been rebuked by the ASA for misleading Fairtrade tea claims, and was one of two parties (with Tesco) in a set of 'contrasting' ASA rulings on plant-based environmental claims — real, adjudicated precedent, not just accusation","Legal review of every live environmental/plant-based/Fairtrade claim against the ASA CAP code; retire or re-substantiate anything resembling the challenged claims.","Build a centralized claims-substantiation register — every public sustainability claim mapped to underlying verifiable data — ahead of the Green Claims Directive/EmpCo regime.",real,"thedrum.com; lexology.com ASA contrasting rulings; asa.org.uk",2026-09-14
8,Tesco plc,retailer,public_listed_uk,"UK; Ireland; Czech Republic; Slovakia; Hungary",moderate,Green Claims Integrity; Climate & Emissions Disclosure,"UK's largest grocer with the widest multi-country regulatory surface of the UK-focused set; publicly accused (media, not yet a formal finding in the sources found) of greenwashing over 'biodegradable' teabag claims; also a party to the same ASA plant-based-claims dispute as Sainsbury's","Same claims-substantiation audit as Sainsbury's, specifically revisiting product-level 'biodegradable'/compostability claims.","Build one unified multi-jurisdiction compliance calendar per country of operation — a UK-only view understates Tesco's real exposure.",real,"nbs-factory.com; lexology.com ASA contrasting rulings",2026-09-14
9,Amazon Fresh / Whole Foods (Amazon.com),online_retailer,public_listed_us,"US; UK; multinational",moderate,Climate & Emissions Disclosure; Green Claims Integrity,"Real, specific curbside-recyclable packaging rollout (replaces ~735k lbs plastic film/yr) and Climate Pledge (net-zero by 2040); but sits inside a much larger group with an existing, separate pattern of labor/antitrust regulatory scrutiny that colors investor and regulator perception of grocery-specific claims","Ring-fence and independently audit grocery-specific labor and packaging claims so they're evaluated on their own record.","Publish grocery-specific Scope 1-3 figures separately from whole-company figures, with a disclosed timeline on the UK curbside-recyclable rollout.",real,"aboutamazon.com; supermarketnews.com; sellerlabs.com",2026-09-14
10,Asda,retailer,private_equity_owned,UK,elevated,Climate & Emissions Disclosure; Supply-Chain Human Rights,"Owned 67.5% TDR Capital / 22.5% Mohsin Issa / 10% Walmart since 2024; leveraged buyout structure with less mandatory public-disclosure cadence than listed peers (Tesco/Sainsbury's/M&S); no LSE-driven ESG reporting obligation","Voluntarily adopt CSRD-equivalent reporting now — large private undertakings of Asda's size are likely to be pulled into equivalent regimes regardless.","Ring-fence a compliance-investment budget that survives debt-servicing pressure, so packaging/EPR/ESG programs aren't the first cut in a downturn.",real,"corporate.asda.com; tdrcapital.com; retail-week.com",2026-09-14
11,Morrisons (Wm Morrison Supermarkets),retailer,private_equity_owned,UK,elevated,Climate & Emissions Disclosure; Governance,"CD&R-owned since 2021 (delisted after 54 years on LSE); £6.6bn acquisition debt; sold fuel forecourts (up to £2.5bn) and 7 warehouses (sale-leaseback) post-acquisition, drawing explicit political criticism over asset stripping; CD&R has a public net-zero-British-farms-by-2030 pledge with a hard, checkable deadline and not yet independently verified progress","Publish an independently audited progress update against the 2030 net-zero-farms pledge specifically — it's dated and public, so silence reads as a red flag by itself.","Build a governance safeguard (e.g. a ring-fenced ESG capital commitment) that survives a change of ownership.",real,"thegrocer.co.uk; forbes.com; bsic.it",2026-09-14
