regulation_id,jurisdiction,political_body,trajectory,controlling_lean,key_actors,evidence,confidence,source,last_verified
SEC_Climate,US-Federal,U.S. Securities and Exchange Commission,rollback,right,Chair Paul Atkins (Trump-appointed),"SEC ended its legal defense of the 2024 climate disclosure rule in March 2025 under Acting Chair Mark Uyeda, then formally proposed full rescission on 29 May 2026; Atkins called the rule 'a dramatic overreach.' 60-day comment period open at time of writing; all indicators point to full revocation",real,"sec.gov; ballotpedia.org; daypitney.com",2026-09-14
FTC_GreenGuides,US-Federal,U.S. Federal Trade Commission,uncertain_gap,right,Chair Andrew Ferguson (Trump-appointed),"Ferguson's stated 2026 priorities (children's privacy, healthcare, price transparency, big tech, 'enforcement over rulemaking') do not mention Green Guides in any source found this pass. Absence of evidence is not evidence of a formal rollback — genuinely unresearched territory, not assumed stable or assumed weakening",gap,"ftc.gov; bipc.com; kslaw.com",2026-09-14
SB253,US-California,California State Legislature + Governor,strengthening,left,"Sen. Scott Wiener (D-San Francisco), author; Gov. Gavin Newsom (D)","Wiener publicly responded to the SEC's rollback saying 'California's climate leadership is more critical than ever' — an explicit statement positioning the state law as a left-state counterweight to federal-right deregulation. Newsom's term-limited exit in Jan 2027 is a real date to re-check this against",real,"sd11.senate.ca.gov",2026-09-14
SB261,US-California,California State Legislature + Governor,strengthening,left,"Sen. Henry Stern, Sen. Lena Gonzalez (D) — same Climate Accountability Package as SB253","Passed as part of the same 2023 package with the same Democratic authorship and the same 2026 political defense posture as SB253",real,"sd11.senate.ca.gov; ga-institute.com",2026-09-14
EUDR,EU,European Parliament + Council,weakening,right,"EPP (largest group) + Patriots for Europe + ECR ('right-wing alliance', per Business & Human Rights Resource Centre reporting)","Parliament voted 402-250 for a second delay and simplification (large operators/traders to 30 Dec 2026, SMEs to 30 Jun 2027); a further Commission simplification review is due by end-April 2026, which could reopen EUDR to still more changes — a concrete near-term date to watch for a third weakening move",real,"esgtoday.com; business-humanrights.org; consilium.europa.eu",2026-09-14
CSRD,EU,European Parliament + Council,weakening,right,"Same EPP + Patriots for Europe + ECR coalition; European Commission (von der Leyen, EPP) proposed the underlying Omnibus I package",Parliament adopted its Omnibus I negotiating position 382-249-13 (13 Nov 2025); Council gave final approval 24 Feb 2026; entered into force 18 Mar 2026. Confirms the previously-unverified figure in docs/data_sources.md: ESRS mandatory datapoints cut from 1073 to 320 (~70% reduction),real,"sphera.com; clifford chance 2026-02; eubelius.com",2026-09-14
CSDDD,EU,European Parliament + Council,weakening,right,Same Omnibus I coalition and process as CSRD (single combined package),Same vote/timeline as CSRD — CSDDD substantive-requirements scope reduced in the same 382-249-13 Parliament vote and Feb 2026 Council approval,real,"sphera.com; business-humanrights.org",2026-09-14
EU_GreenClaims,EU,European Parliament + Council,uncertain_gap,unresearched,Not identified this pass,"No source found this pass tying a specific political vote or coalition position to this directive specifically, despite the same EPP-led simplification agenda applying pressure to CSRD/CSDDD/EUDR in parallel. Flagged honestly as unresearched rather than assumed to follow the same pattern",gap,none — not researched this pass,2026-09-14
EmpCo,EU,European Parliament + Council,uncertain_gap,unresearched,Not identified this pass,Same gap as EU_GreenClaims — the Empowering Consumers Directive's specific political dynamics were not researched in this pass,gap,none — not researched this pass,2026-09-14
PPWR,EU,European Parliament + Council,uncertain_gap,unresearched,Not identified this pass,"Only general EPR/date context was found this pass, not the specific political vote history or coalition dynamics behind PPWR",gap,none — not researched this pass,2026-09-14
UK_pEPR,UK,Defra / PackUK,stable_mixed,left_of_center,"Defra Secretary Dame Angela Eagle (Labour, appointed 20 Jul 2026 under PM Burnham)","Packaging EPR is proceeding into its planned fee-modulation phase for 2026 as scheduled — continuity from the framework Labour inherited from the prior Conservative government. But Defra separately postponed mandatory kerbside soft-plastics collection from 2027 to 2030, showing delay pressure exists even under a nominally pro-regulation government, most likely administrative-burden/cost driven rather than a partisan reversal",real,"erp-recycling.org; grantthornton.co.uk; hansard.parliament.uk 2026-07-01",2026-09-14
UK_PlasticTax,UK,HM Treasury / HMRC,stable,left_of_center,HM Treasury (no named political controversy identified),"Rate rises automatically each April in line with CPI inflation (now £228.82/tonne from 1 Apr 2026); no partisan dispute or reversal found",real,erp-recycling.org,2026-09-14
