regulation_id,jurisdiction,category,short_name,official_title,celex_or_citation,key_date,date_type,date_status,confidence,source,last_verified
EUDR,EU,Deforestation,EU Deforestation Regulation,"Regulation (EU) 2023/1115 on the making available on the Union market and the export from the Union of certain commodities and products associated with deforestation and forest degradation",32023R1115,2026-12-30,compliance_deadline_large_medium,confirmed,real,EUR-Lex,2026-09-14
EUDR,EU,Deforestation,EU Deforestation Regulation (SME),"Regulation (EU) 2023/1115, SME/micro-enterprise deadline",32023R1115,2027-06-30,compliance_deadline_sme,confirmed,real,EUR-Lex,2026-09-14
CSRD,EU,Reporting,Corporate Sustainability Reporting Directive (post-Omnibus),"Directive (EU) 2026/470 (Omnibus I) amending CSRD scope — published in Official Journal 26 Feb 2026, entered into force 18 Mar 2026",32026L0470,2026-03-18,entered_into_force,confirmed,real,"briefing_deck; corroborated by DLA Piper, Weil, Covington, PwC, Lexology",2026-09-14
CSRD,EU,Reporting,CSRD member state transposition,"CSRD amendments — member state transposition deadline",32026L0470,2027-03-19,member_state_transposition_deadline,confirmed,real,"DLA Piper, Weil, Covington coverage of Omnibus I",2026-09-14
CSRD,EU,Reporting,CSRD Wave 2/3 filings,"CSRD Wave 2/3 first filings under revised scope",32026L0470,2028-01-01,first_filing_due,estimated,real,briefing_deck,2026-09-09
CSDDD,EU,Due Diligence,Corporate Sustainability Due Diligence Directive (post-Omnibus),"Directive (EU) 2026/470 (Omnibus I) amending CSDDD",32026L0470,2028-07-26,member_state_transposition_deadline,confirmed,real,briefing_deck,2026-09-09
CSDDD,EU,Due Diligence,CSDDD substantive requirements,"CSDDD substantive requirements apply to largest companies",32026L0470,2029-07-26,substantive_requirements_apply,confirmed,real,briefing_deck,2026-09-09
PPWR,EU,Packaging,Packaging and Packaging Waste Regulation,"Regulation (EU) 2025/40 on packaging and packaging waste",32025R0040,2026-08-12,applies,confirmed,real,briefing_deck,2026-09-09
PPWR,EU,Packaging,PPWR recycled-content grading,"PPWR recycled-content & recyclability grading phase-in",32025R0040,2030-01-01,phase_in_begins,confirmed,real,briefing_deck,2026-09-09
UK_pEPR,UK,Packaging,UK Extended Producer Responsibility,"UK Packaging Extended Producer Responsibility scheme",,2025-04-01,live_since,confirmed,real,briefing_deck,2026-09-09
UK_pEPR,UK,Packaging,UK pEPR eco-modulation,"UK pEPR fee eco-modulation by recyclability begins",,2026-10-01,fee_change_begins,confirmed,real,briefing_deck,2026-09-09
UK_PlasticTax,UK,Packaging,UK Plastic Packaging Tax,"UK Plastic Packaging Tax rate (packaging <30% recycled content)",,2026-04-01,rate_change,confirmed,real,briefing_deck,2026-09-09
EmpCo,EU,Green Claims,Empowering Consumers Directive,"Directive on empowering consumers for the green transition (EmpCo) — bans vague/unsubstantiated green claims",,2026-09-27,applies,confirmed,real,briefing_deck,2026-09-09
EU_GreenClaims,EU,Green Claims,EU Green Claims Directive,"EU Green Claims Directive — Commission announced intent to withdraw 20 Jun 2025",,2025-06-20,withdrawal_announced_not_finalized,stalled,real,briefing_deck,2026-09-09
SEC_Climate,US-Federal,Reporting,SEC Climate Disclosure Rule,"SEC climate-related disclosure rule — adopted 6 Mar 2024, stayed, rescission proposed",,2026-06-03,rescission_proposed,proposed,real,briefing_deck,2026-09-09
FTC_GreenGuides,US-Federal,Green Claims,FTC Green Guides,"FTC Green Guides review (recyclability/degradability claims) — reopened Dec 2022",,2022-12-01,review_reopened_not_finalized,stalled,real,briefing_deck,2026-09-09
SB253,US-California,Reporting,California SB253 Climate Corporate Data Accountability Act,"CA SB253 — Scope 1-2 GHG reporting, entities >$1B revenue. CARB deferred this deadline by 3 months (10 Aug 2026 -> 10 Nov 2026), announced 24 Jun 2026; proposed modifications released 27 Jul 2026 for public comment through 11 Aug 2026. Strict compliance with the draft reporting template and limited assurance not required for first-year (2026) reporting.",,2026-11-10,scope_1_2_deadline,confirmed,real,"briefing_deck; corroborated by velaw.com, morganlewis.com, gtlaw.com, sullcrom.com (CARB deferral coverage)",2026-09-14
SB253,US-California,Reporting,California SB253 Scope 3,"CA SB253 — Scope 3 reporting begins",,2027-01-01,scope_3_begins,estimated,real,briefing_deck,2026-09-09
SB261,US-California,Reporting,California SB261 Climate-Related Financial Risk Act,"CA SB261 — entities >$500M revenue; enforcement enjoined by 9th Circuit since 18 Nov 2025, pending appeal",,2025-11-18,enforcement_enjoined_pending_appeal,confirmed,real,briefing_deck,2026-09-09
